type,model_mkt,display_name
iot,C583ES-IM-AA,C583ES-IM-AA
graphics-cards,ROG XG Mobile (2022),ROG XG Mobile (2022)
iot,EMA-DCB-A,EMA-DCB-A
iot,Coral USB Accelerator,Coral USB Accelerator
accessories,TUF Gaming BP2700 Backpack,TUF Gaming BP2700 Backpack
wearable-healthcare,ASUS VivoWatch 6 (HC-D06),ASUS VivoWatch 6 (HC-D06)
iot,Tinker Board 3N,Tinker Board 3N
monitors,VZ239HE,VZ239HE
servers,MCI-10G/82599-2S,MCI-10G/82599-2S
aiot,Coral Dev Board Micro,Coral Dev Board Micro
laptops,H5600QR OLED,"ProArt Studiobook 16 OLED (H5600, AMD Ryzen 5000 series)"
accessories,ZenPower,ZenPower
wearable-healthcare,ASUS Handheld Ultrasound Solution,ASUS Handheld Ultrasound Solution
servers,ESC4000-E10,ESC4000-E10
aiot,PE400D,PE400D
iot,Tinker Power Supply,Tinker Power Supply
monitors,ProArt Display PA32UC-K,ProArt Display PA32UC-K
nucs,NUC 12 Pro X Kit,NUC 12 Pro X Kit
monitors,VE228H,VE228H
monitors,VP247HA-P,VP247HA-P
servers,MCI-10G/X550-2T,MCI-10G/X550-2T
monitors,VZ229HE,VZ229HE
laptops,B1408CB,"ExpertBook B1 (B1408C, 12th Gen Intel)"
projectors,P3B,P3B
iot,Jetson Nano Developer Kit,Jetson Nano Developer Kit
iot,C7146ES-IM-AA,C7146ES-IM-AA
iot,Q170A-IM-A,Q170A-IM-A
nucs,NUC 11 Compute Element,NUC 11 Compute Element
iot,Q670EM-IM-A,Q670EM-IM-A
desktops,ASUSPRO D840MB,ASUSPRO D840MB
laptops,ASUSPRO P1440UA,ASUSPRO P1440
servers,RS520-E9-RS8,RS520-E9-RS8
accessories,ASUS SimPro Dock 2,ASUS SimPro Dock 2
iot,C785S-IM-AA,C785S-IM-AA
wearable-healthcare,ASUS VivoWatch BP (HC-A04),ASUS VivoWatch BP (HC-A04)
iot,Q670EA-IM-A,Q670EA-IM-A
motherboards,ROG STRIX LC II 360 ARGB,ROG STRIX LC II 360 ARGB
desktops,ASUS S425MC,ASUS S425MC
zenbo,ASUS Smart Speaker (Xiao-Bu),ASUS Smart Speaker (Xiao-Bu)
aiot,PureGo PD100,PureGo PD100
nucs,NUC 11 Extreme Kit,NUC 11 Extreme Kit
motherboards,PRIME B450M-A II/CSM,PRIME B450M-A II/CSM
iot,W480EI-IM-A,W480EI-IM-A
iot,Tinker Board 2S,Tinker Board 2S
aiot,AISDetector,AISDetector
laptops,BX363JA,Zenbook Flip 13 BX363
networking,ASUS ExpertWiFi EBA63,ASUS ExpertWiFi EBA63
iot,H610I-IM-A,H610I-IM-A
iot,Tinker Open Case DIY Kit,Tinker Open Case DIY Kit
aiot,PE200U,PE200U
iot,Coral Dev Board,Coral Dev Board
aiot,Coral Dev Board Mini,Coral Dev Board Mini
monitors,VS229DA-W,VS229DA-W
laptops,UX325EA,Zenbook 13 UX325 (11th Gen Intel)
projectors,F1,F1
servers,RS620SA-E10-RS12,RS620SA-E10-RS12
monitors,VA32UQ,VA32UQ
iot,R1505I-IM-B,R1505I-IM-B
accessories,ZenFone 4 View Flip Cover (ZE554KL),ZenFone 4 View Flip Cover (ZE554KL)
monitors,BE239QLB,BE239QLB
iot,Q370I-IM-A R2.0,Q370I-IM-A R2.0
iot,Tinker Fanless Aluminum Case,Tinker Fanless Aluminum Case
aiot,TGLC6-IM-A,TGLC6-IM-A
servers,PIKE II 3008-8i,PIKE II 3008-8i
nucs,NUC Assembly Element,NUC Assembly Element
iot,Q370I-IM-A,Q370I-IM-A
nucs,NUC 13 Pro Desk Edition Mini PC,NUC 13 Pro Desk Edition Mini PC
servers,RS700-E10-RS4U,RS700-E10-RS4U
monitors,VZ27VQR,VZ27VQR
zenbo,Zenbo,Zenbo
iot,C786ES-IM-AA,C786ES-IM-AA
servers,RS500A-E11-RS4U,RS500A-E11-RS4U
nucs,NUC 12 Enthusiast Kit,NUC 12 Enthusiast Kit
accessories,ROG Azoth,ROG Azoth
servers,ESC N8A-E12,ESC N8A-E12
monitors,ProArt Display PA329Q,ProArt Display PA329Q
aiot,PE2000U,PE2000U
nucs,NUC 11 Pro Kit,NUC 11 Pro Kit
projectors,ZenBeam S2,ASUS ZenBeam S2
monitors,VP249N-P,VP249N-P
accessories,TUF Gaming K3 Gen II,TUF Gaming K3 Gen II
accessories,ASUS W2500 Wireless Keyboard and Mouse Set,ASUS W2500 Wireless Keyboard and Mouse Set
